# Layout dump
id,key,x,y,dep
layered_carapace__G1,layered_carapace,-4,2,reinforced_plates__G1
quickstep_chain__G1,quickstep_chain,3,5,salvage_hooks__G1
extra_skill_014__G1,extra_skill_014,2,-5,extra_skill_001__G1
extra_skill_015__G1,extra_skill_015,-4,-7,extra_skill_011__G1
condensed_cores_2_60__G1,condensed_cores_2_60,0,-7,extra_skill_012__G1
extra_skill_016__G1,extra_skill_016,-5,-7,extra_skill_013__G1
extra_skill_017__G1,extra_skill_017,2,-6,extra_skill_014__G1
extended_channel_2_60__G1,extended_channel_2_60,-3,-7,extra_skill_011__G1
extra_skill_018__G1,extra_skill_018,1,-7,extra_skill_012__G1
salvage_hooks_2__G1,salvage_hooks_2,-2,6,trail_boots__G1
extra_skill_019__G1,extra_skill_019,-6,-7,extra_skill_013__G1
extra_skill_020__G1,extra_skill_020,3,-6,extra_skill_014__G1
boss_pattern_map__G1,boss_pattern_map,5,-2,boss_stance_60__G1
extra_skill_021__G1,extra_skill_021,-7,-7,extra_skill_011__G1
front_compression__G1,front_compression,5,0,boss_readiness_60__G1
extra_skill_022__G1,extra_skill_022,-1,-7,extra_skill_012__G1
knight_bloodline_2_60__G1,knight_bloodline_2_60,-4,16,wave_bringer_1__G1
extra_skill_023__G1,extra_skill_023,-8,-7,extra_skill_013__G1
extra_skill_024__G1,extra_skill_024,1,-6,extra_skill_014__G1
dot_deflector__G1,dot_deflector,-4,0,hemostasis_mesh__G1
pathline_sprint__G1,pathline_sprint,2,7,route_memory__G1
extra_skill_025__G1,extra_skill_025,-2,-8,extra_skill_011__G1
mage_sigil_1_60__G1,mage_sigil_1_60,-7,14,core_mage_damage__G1
extra_skill_026__G1,extra_skill_026,2,-7,extra_skill_012__G1
power_echo__G1,power_echo,-3,-8,extra_skill_013__G1
extra_skill_027__G1,extra_skill_027,4,-6,extra_skill_014__G1
extra_skill_028__G1,extra_skill_028,-2,-9,extra_skill_025__G1
extra_skill_029__G1,extra_skill_029,2,-8,extra_skill_026__G1
cadence_lock__G1,cadence_lock,-3,-9,power_echo__G1
extra_skill_030__G1,extra_skill_030,4,-7,extra_skill_027__G1
extra_skill_031__G1,extra_skill_031,-1,-9,extra_skill_025__G1
extra_skill_032__G1,extra_skill_032,3,-8,extra_skill_026__G1
boss_bastion__G1,boss_bastion,5,1,boss_fracture_study_60__G1
extra_skill_033__G1,extra_skill_033,-4,-9,power_echo__G1
extra_skill_034__G1,extra_skill_034,5,-7,extra_skill_027__G1
market_routing__G1,market_routing,-3,7,collector_drone__G1
extra_skill_035__G1,extra_skill_035,1,-9,extra_skill_025__G1
extra_skill_036__G1,extra_skill_036,1,-8,extra_skill_026__G1
extra_skill_037__G1,extra_skill_037,-5,-9,power_echo__G1
pressure_ladder__G1,pressure_ladder,6,-1,crowd_ecology__G1
extra_skill_038__G1,extra_skill_038,3,-7,extra_skill_027__G1
extra_skill_039__G1,extra_skill_039,0,-10,extra_skill_025__G1
guardian_bulwark_2_60__G1,guardian_bulwark_2_60,-3,12,core_guardian_damage__G1
extra_skill_040__G1,extra_skill_040,4,-8,extra_skill_026__G1
extra_skill_041__G1,extra_skill_041,-6,-9,power_echo__G1
shock_sink__G1,shock_sink,-4,1,shock_padding__G1
extra_skill_042__G1,extra_skill_042,6,-7,extra_skill_027__G1
extra_skill_043__G1,extra_skill_043,0,-11,extra_skill_039__G1
extra_skill_044__G1,extra_skill_044,4,-9,extra_skill_040__G1
long_march__G1,long_march,3,6,salvage_hooks__G1
extra_skill_045__G1,extra_skill_045,-6,-10,extra_skill_041__G1
extra_skill_046__G1,extra_skill_046,6,-8,extra_skill_042__G1
extra_skill_047__G1,extra_skill_047,1,-11,extra_skill_039__G1
power_reservoir_3_60__G1,power_reservoir_3_60,5,-9,extra_skill_040__G1
extra_skill_048__G1,extra_skill_048,-5,-10,extra_skill_041__G1
extra_skill_049__G1,extra_skill_049,7,-8,extra_skill_042__G1
extra_skill_050__G1,extra_skill_050,-1,-11,extra_skill_039__G1
overclock_window__G1,overclock_window,3,-9,extra_skill_040__G1
extra_skill_051__G1,extra_skill_051,-7,-10,extra_skill_041__G1
extra_skill_052__G1,extra_skill_052,5,-8,extra_skill_042__G1
extra_skill_053__G1,extra_skill_053,2,-11,extra_skill_039__G1
extra_skill_054__G1,extra_skill_054,6,-9,extra_skill_040__G1
boss_rend_protocol__G1,boss_rend_protocol,6,-2,boss_pattern_map__G1
extra_skill_055__G1,extra_skill_055,-8,-10,extra_skill_041__G1
extra_skill_056__G1,extra_skill_056,8,-8,extra_skill_042__G1
extra_skill_057__G1,extra_skill_057,2,-12,extra_skill_053__G1
archer_drill_2_60__G1,archer_drill_2_60,-6,5,archer_piercing_geometry_60__G1
extra_skill_058__G1,extra_skill_058,6,-10,extra_skill_054__G1
extra_skill_059__G1,extra_skill_059,-8,-11,extra_skill_055__G1
extra_skill_060__G1,extra_skill_060,8,-9,extra_skill_056__G1
extra_skill_061__G1,extra_skill_061,3,-12,extra_skill_053__G1
mage_sigil_2_60__G1,mage_sigil_2_60,-8,15,core_knight_damage__G2
extra_skill_062__G1,extra_skill_062,7,-10,extra_skill_054__G1
extra_skill_063__G1,extra_skill_063,-7,-11,extra_skill_055__G1
extra_skill_064__G1,extra_skill_064,9,-7,extra_skill_056__G1
extra_skill_065__G1,extra_skill_065,1,-12,extra_skill_053__G1
run_yield_matrix__G1,run_yield_matrix,1,6,trail_boots__G1
extra_skill_066__G1,extra_skill_066,5,-10,extra_skill_054__G1
extra_skill_067__G1,extra_skill_067,-9,-11,extra_skill_055__G1
extra_skill_068__G1,extra_skill_068,7,-9,extra_skill_056__G1
extra_skill_069__G1,extra_skill_069,4,-12,extra_skill_053__G1
extra_skill_070__G1,extra_skill_070,8,-10,extra_skill_054__G1
extra_skill_071__G1,extra_skill_071,-10,-11,extra_skill_055__G1
extra_skill_072__G1,extra_skill_072,9,-10,extra_skill_056__G1
extra_skill_073__G1,extra_skill_073,4,-13,extra_skill_069__G1
extra_skill_074__G1,extra_skill_074,7,-11,extra_skill_070__G1
extra_skill_075__G1,extra_skill_075,-10,-12,extra_skill_071__G1
extra_skill_076__G1,extra_skill_076,9,-11,extra_skill_072__G1
extra_skill_077__G1,extra_skill_077,5,-13,extra_skill_069__G1
extra_skill_078__G1,extra_skill_078,9,-12,extra_skill_070__G1
extra_skill_079__G1,extra_skill_079,-9,-12,extra_skill_071__G1
extra_skill_080__G1,extra_skill_080,10,-11,extra_skill_072__G1
extra_skill_081__G1,extra_skill_081,3,-13,extra_skill_069__G1
extra_skill_082__G1,extra_skill_082,7,-12,extra_skill_070__G1
extra_skill_083__G1,extra_skill_083,-11,-12,extra_skill_071__G1
extra_skill_084__G1,extra_skill_084,8,-11,extra_skill_072__G1
extra_skill_085__G1,extra_skill_085,6,-13,extra_skill_069__G1
extra_skill_086__G1,extra_skill_086,10,-12,extra_skill_070__G1
extra_skill_087__G1,extra_skill_087,-12,-12,extra_skill_071__G1
extra_skill_088__G1,extra_skill_088,11,-11,extra_skill_072__G1
extra_skill_089__G1,extra_skill_089,6,-14,extra_skill_085__G1
extra_skill_090__G1,extra_skill_090,10,-13,extra_skill_086__G1
extra_skill_091__G1,extra_skill_091,-13,-12,extra_skill_087__G1
extra_skill_092__G1,extra_skill_092,11,-12,extra_skill_088__G1
extra_skill_093__G1,extra_skill_093,6,-15,extra_skill_089__G1
extra_skill_094__G1,extra_skill_094,10,-14,extra_skill_090__G1
