key,en,ar,ca,cs,de,es,fr,he,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
BATTLE_DEFAULT_HINT_08,You can bank energy on heroes by partially filling their activation.,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_RECRUIT_ARCHER,Recruit the Archer for steady ranged damage. It helps smooth out early and mid-run fights.,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_RECRUIT_GUARDIAN,Recruit the Guardian if your frontline is collapsing. Extra durability buys the rest of the team more time.,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_RECRUIT_MAGE,Recruit the Mage when you need burst damage to break harder waves and boss segments faster.,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_CURSOR_PICKUP,Cursor Pickup lets you grab coins faster during combat and earn more coins. which speeds up your post-battle upgrade purchases.,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_DEFEAT,If this fight ended in defeat. spend your next coins before retrying. Small upgrade bumps compound quickly.,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_BOSS_ARMOR,If the boss defeated you quickly. consider adding Boss Armor.,,,,,,,,,,,,,,,,,,,
BATTLE_WISHLIST,Wishlist,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_ECON,Improves income conversion and pickup efficiency.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_DENS,Increases enemy pressure to raise total reward ceiling.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_SURV,Improves survivability and run depth.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_MOVE,Improves traversal tempo.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_PWR,Improves power economy for actives.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_ACTV,Improves active ability uptime.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_BOSS,Improves boss phase output. safety. or rewards.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_FAMILY_TEAM,Improves hero-specific combat synergy.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CURSOR_PICKUP_UNLOCK,Cursor Pickup Unlock,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_RECRUIT_ARCHER,Recruit Archer,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_AUTO_ATTACK_UNLOCK,Tactical Telemetry,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_BATTLE_SPEED_UNLOCK_2X,Temportal Throttle,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_BATTLE_SPEED_UNLOCK_4X,Temportal Throttle II,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_BATTLE_SPEED_UNLOCK_8X,Temportal Throttle III,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_OLD_ART_UNLOCK,Archive of First Light,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_KNIGHT_VAMP_UNLOCK,Knight Vampirism Unlock,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_ARCHER_PIERCE_UNLOCK,Archer Pierce Unlock,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_POWER_HARVEST_UNLOCK,Power Harvest Unlock,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_RECRUIT_GUARDIAN,Recruit Guardian,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_GUARDIAN_FORTIFY_UNLOCK,Guardian Fortify Unlock,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_RECRUIT_MAGE,Recruit Mage,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_MAGE_STORM_UNLOCK,Mage Storm Unlock,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_PARTY_DAMAGE_BOOST,Party Power,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_PARTY_BATTLE_STANDARD,Battle Standard,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_PARTY_WAR_DRUMS,War Drums,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_PARTY_EXECUTION_DOCTRINE,Execution Doctrine,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_PARTY_APEX_OVERDRIVE,Apex Overdrive,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_VITALITY_FOUNDATION,Vitality Foundation,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_HERO_COIN_GAIN,Hero Coin Gain %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CURSOR_CAPTURE,Cursor Capture %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_VITALITY_HITPOINTS,Vitality Hitpoints %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_VITALITY_POWER,Vitality Power %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_VITALITY_CHANNEL,Vitality Channel %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_EXTRA_SKILL,"%s %s %d",,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CORE_ARMOR,Core Armor,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CONTACT_ARMOR,Contact Armor %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_DOT_ARMOR,DoT Armor %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_BOSS_ARMOR,Boss Armor %s,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CORE_DENSITY,Core Density,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CORE_DROP,Core Drop,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_CORE_POWER,Core Power,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_HERO_DAMAGE,"%s Damage %s",,,,,,,,,,,,,,,,,,,
UPGRADE_DB_NAME_HERO_SPEED,"%s Speed %s",,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CURSOR_PICKUP_UNLOCK,Unlocks cursor pickup bonuses so cursor-collected coins are worth more.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_RECRUIT_ARCHER,Adds the Archer hero to your combat lineup.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_AUTO_ATTACK_UNLOCK,Unlocks Tactical Telemetry: reveals enemies remaining during battle using the blue progress HUD.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_BATTLE_SPEED_2X,Unlocks the Speed button and enables 2x battle speed.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_BATTLE_SPEED_4X,Unlocks 4x battle speed.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_BATTLE_SPEED_8X,Unlocks 8x battle speed.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_OLD_ART_UNLOCK,Reveals the Art: Old/New toggle in release builds. Cosmetic only; no gameplay effect.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KNIGHT_VAMP_UNLOCK,Unlocks the Knight active and improves life steal sustain.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_ARCHER_PIERCE_UNLOCK,Unlocks the Archer active with piercing attack coverage.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_POWER_HARVEST_UNLOCK,Unlocks stronger power generation from combat and pickups.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_RECRUIT_GUARDIAN,Adds the Guardian hero to your combat lineup.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_GUARDIAN_FORTIFY_UNLOCK,Unlocks the Guardian active: grants a Limited-Time Fortify that reduces incoming damage.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_RECRUIT_MAGE,Adds the Mage hero to your combat lineup.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_MAGE_STORM_UNLOCK,Unlocks the Mage active: while active. the storm repeatedly damages all enemies on screen.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_PARTY_DAMAGE_08,Increases all party damage by 8% per level.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_PARTY_DAMAGE_12,Increases all party damage by 12% per level.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_PARTY_DAMAGE_16,Increases all party damage by 16% per level.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_PARTY_DAMAGE_20,Increases all party damage by 20% per level.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_PARTY_DAMAGE_25,Increases all party damage by 25% per level.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_VITALITY_FOUNDATION,"Unlocks the Vitality tree: +50 max Health. From here you can invest in Hitpoints, Power, or Channel time.",,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_HERO_COIN_GAIN,Multiplies coin value by +6% per level (exponential over 20 levels). Applies to coins collected by heroes or cursor.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CURSOR_CAPTURE_GAIN,Multiplies cursor-captured coin value by +2.5% per level (exponential over 25 levels).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_VITALITY_HITPOINTS,Increases max Health by 20% per level. Each of the five tracks (I-V) adds 20% per level; cost scales 3x per track depth. Stacks multiplicatively across all levels.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_VITALITY_POWER,Increases power generation and power capacity by 5% per level. Each of the five tracks (I-V) adds 5% per level; cost scales 3x per track depth.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_VITALITY_CHANNEL,Increases active ability channel (duration) by 5% per level. active power cost by 5% per level. and power charged per hero click by 5% per level. Lets actives run longer at a higher activation cost without increasing clicks to cast. Cost scales 3x per track depth.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_ARMOR,Unlocks the Core Armor branch: three paths that reduce enemy. DOT. and boss damage taken. Armor can prevent at most 90% of damage taken.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_ARMOR_ENEMY,Reduces regular enemy contact damage by %d.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_ARMOR_DOT,Reduces damage-over-time by %d damage per second.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_ARMOR_BOSS,Blocks %d boss contact damage per purchase in this node. %d total when fully upgraded.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_DENSITY,Increase enemy density by ~5% per level (and coin rewards by ~2% per level) for higher potential rewards.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_DROP,Increase coin drop value scaling by +8% per level.,,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_POWER,Increase power gain by +12% per level. power cap by +8. and reduce active power cost by about 2% per level.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_HERO_DAMAGE_TIERS,Tiers %d-%d: +%d%% %s damage per purchase (x%.2f each buy). Full branch exceeds 10000x base damage.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_HERO_SPEED_TIERS,Tiers %d-%d: +%.2f attacks/sec for %s per purchase (+%.2f attacks/sec across this node). Full branch reaches 3.00x base attack rate.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_CORE_STAT_LEVEL,Increase this core stat scaling (Level %d).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_ECON,Increases combat reward efficiency so each kill converts into more useful coin and stronger next-run upgrades.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_DENS,Raises enemy density/pressure so your DPS kills more targets per second and increases coin-per-minute ceiling.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_SURV,Improves survivability (armor/contact/DoT mitigation) so the team survives deeper waves and reaches bosses more often.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_MOVE,Improves formation movement and retarget tempo so heroes spend less time repositioning and more time dealing damage.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_PWR,Improves power generation/cap/refund so actives trigger earlier and more frequently in each run.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_ACTV,Improves active uptime (duration and cooldown cadence). increasing burst windows and sustained team DPS.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_BOSS,Improves boss-phase effectiveness (damage throughput. mitigation. or reward scaling) to clear more boss segments.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_EXTRA_SKILL_TEAM,Improves hero-specific combat stats and active ceilings. increasing total squad damage and consistency.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_DAMAGE,Increases direct damage output (typically about +1.2%-1.5% total team DPS per level before global tuning).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_SPEED,Increases attack cadence (typically about +0.9%-1.2% faster attacks per level before global tuning).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_ARMOR,Reduces incoming damage (roughly -0.8% to -1.2% taken per level before global tuning).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_POWER,Improves active ability economy (about +2.5% power gain per level and modest cooldown/cost reductions before global tuning).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_BOSS,Improves boss progression (reduces effective boss HP or increases boss rewards by a few percent per level).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_COIN,Increases coin conversion from combat by roughly +3% income per level (before cursor and extra-skill bonuses).,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_KEY_DENSITY,Increases enemy density by a few percent per level so high DPS builds can secure more kills (and coins) per minute.,,,,,,,,,,,,,,,,,,,
UPGRADE_DB_DESCRIPTION_FALLBACK,Improves run combat effectiveness by boosting hero output. uptime. durability. or reward conversion on this branch.,,,,,,,,,,,,,,,,,,,
