key,en,ja,ko,zh_Hans,ru,pt_BR,de,es,es_MX,fr,pl,tr
<!MissingKey:10:💠 Deep Resonance>,💠 Deep Resonance,💠 深層共鳴,💠 심층 공명,💠 深层共振,💠 Глубокий резонанс,💠 Ressonância Profunda,💠 Tiefenresonanz,💠 Resonancia Profunda,💠 Resonancia Profunda,💠 Résonance Profonde,💠 Głęboka Rezonacja,💠 Derin Rezonans
<!MissingKey:11:Range Expand I>,Range Expand I,射程拡張 I,사거리 확장 I,射程扩展 I,Расширение дальности I,Expansão de Alcance I,Reichweite I,Expansión de Alcance I,Expansión de Rango I,Extension de Portée I,Rozszerzenie Zasięgu I,Menzil Genişletme I
<!MissingKey:12:Deploy 1 drone>,"Deploy 1 drone
Fixed damage 8","ドローン1機配置
固定ダメージ 8","드론 1기 배치
고정 데미지 8","部署1架无人机
固定伤害 8","Запуск 1 дрона
Урон 8","Implantar 1 drone
Dano fixo 8","1 Drohne einsetzen
Fester Schaden 8","Despliega 1 dron
Daño fijo 8","Despliega 1 dron
Daño fijo 8","Déploie 1 drone
Dégâts fixes 8","Wyślij 1 drona
Stałe obrażenia 8","1 drone yerleştir
Sabit hasar 8"
SORTIE_CORES_FMT,🔴 %d cores!,🔴 %dコア!,🔴 %d코어!,🔴 %d核心!,🔴 %d ядер!,🔴 %d núcleos!,🔴 %d Kerne!,🔴 ¡%d núcleos!,🔴 ¡%d núcleos!,🔴 %d noyaux !,🔴 %d rdzeni!,🔴 %d çekirdek!
CORE_COND_ALLCORE_YES,✔ All cores destroyed,✔ 全コア破壊,✔ 코어 전멸,✔ 全核心消灭,✔ Все ядра уничтожены,✔ Todos os núcleos destruídos,✔ Alle Kerne zerstört,✔ Todos los núcleos destruidos,✔ Todos los núcleos destruidos,✔ Tous les noyaux détruits,✔ Wszystkie rdzenie zniszczone,✔ Tüm çekirdekler yıkıldı
<!MissingKey:15:💰 Resource Boost II>,💰 Resource Boost II,💰 資源ブースト II,💰 자원 증폭 II,💰 资源增幅 II,💰 Усиление ресурсов II,💰 Amplificação de Recursos II,💰 Ressourcenverstärkung II,💰 Potenciador de Recursos II,💰 Potenciador de Recursos II,💰 Boost de Ressources II,💰 Wzmocnienie Zasobów II,💰 Kaynak Güçlendirme II
<!MissingKey:16:The problem was the planet next door.>,"The problem was the planet next door.
Blinding light poured through your window every day.","問題は隣の惑星。毎日まぶしい光が窓から降り注いでいた。
眩しすぎて眠れなかった。","문제는 옆의 행성. 매일 눈부신 빛이 창문으로 쏟아져 들어왔다.
너무 눈부셔서 잠을 잘 수가 없었다.","问题出在旁边的行星。每天刺眼的光芒从窗户涌入。
太刺眼了，根本无法入睡。","Проблема — соседняя планета.
Каждый день ослепительный свет лился в ваше окно.","O problema era o planeta vizinho.
Luz ofuscante entrava pela janela todos os dias.","Das Problem war der Nachbarplanet.
Jeden Tag strömte blendendes Licht durch dein Fenster.","El problema era el planeta vecino.
Una luz cegadora entraba por tu ventana cada día.","El problema era el planeta vecino.
Una luz cegadora entraba por tu ventana cada día.","Le problème, c'était la planète voisine.
Une lumière aveuglante traversait votre fenêtre chaque jour.","Problem stanowiła sąsiednia planeta.
Oślepiające światło wpadało przez okno każdego dnia.","Sorun komşu gezegendi.
Her gün pencerenizden göz kamaştırıcı ışık giriyordu."
<!MissingKey:17:Combo on kills>,"Combo on kills
+2% resource per stack","連続破壊でコンボ増加
スタック毎に資源+2%","연속 파괴 시 콤보 증가
스택당 자원 +2%","连续破坏时连击增加
每层资源+2%","Комбо за уничтожение
+2% ресурсов за стак","Combo ao destruir
+2% recursos por acúmulo","Combo bei Zerstörung
+2% Ressourcen pro Stufe","Combo al destruir
+2% recurso por carga","Combo al destruir
+2% recurso por carga","Combo en détruisant
+2% ressource par charge","Combo przy eliminacji
+2% zasobów na ładunek","Öldürmelerde kombo
Yük başına +%2 kaynak"
<!MissingKey:18:Hit 3 blocks at once>,Hit 3 blocks at once,同時に3ブロック攻撃,동시 3블록 타격,同时攻击3个方块,3 блока одновременно,Atingir 3 blocos,3 Blöcke gleichzeitig,Golpea 3 bloques a la vez,Impacta 3 bloques a la vez,Touche 3 blocs à la fois,Traf 3 bloki naraz,Aynı anda 3 blok vur
<!MissingKey:19:Duration +1.5s Need -10>,Duration +1.5s Need -10,持続+1.5秒 必要-10ブロック,지속+1.5초 필요-10블록,持续+1.5秒 所需-10方块,Длительность +1.5с Требование -10,Duração +1.5s Necessário -10,"Dauer +1,5s Bedarf -10",Duración +1.5s Necesidad -10,Duración +1.5s Necesidad -10,Durée +1.5s Besoin -10,Czas trwania +1.5s Potrzeba -10,Süre +1.5s İhtiyaç -10
STATS_COMBO_SHORT,🔥 %d combo,🔥 %dコンボ,🔥 %d콤보,🔥 %d连击,🔥 %d комбо,🔥 %d combo,🔥 %d Kombo,🔥 %d combo,🔥 %d combo,🔥 %d combo,🔥 %d combo,🔥 %d kombo
<!MissingKey:21:Mining Result>,Mining Result,採掘結果,채굴 결과,采矿结果,Результат добычи,Resultado da Mineração,Abbauergebnis,Resultado de Minería,Resultado de Minería,Résultat de Minage,Wynik Wydobycia,Madencilik Sonucu
<!MissingKey:22:Laser damage +40>,Laser damage +40,レーザーダメージ +40,레이저 데미지 +40,激光伤害 +40,Урон лазера +40,Dano do laser +40,Laserschaden +40,Daño láser +40,Daño láser +40,Dégâts laser +40,Obrażenia lasera +40,Lazer hasarı +40
STATS_PURCHASED,Purchased: ,購入: ,구매: ,购买: ,Куплено: ,Comprado: ,Gekauft: ,Comprado: ,Comprado: ,Acheté : ,Zakupione: ,Satın Alınan: 
<!MissingKey:24:Drone laser pierces 2 blocks>,Drone laser pierces 2 blocks,ドローンレーザーが2ブロック貫通,드론 레이저가 2블록 관통,无人机激光贯穿2个方块,Лазер дрона пробивает 2 блока,Laser do drone perfura 2 blocos,Drohnenlaser durchschlägt 2 Blöcke,El láser del dron perfora 2 bloques,El láser del dron atraviesa 2 bloques,Le laser du drone perce 2 blocs,Laser drona przebija 2 bloki,Drone lazeri 2 blok deler
<!MissingKey:25:🌑 Planet Mastery>,🌑 Planet Mastery,🌑 惑星支配,🌑 행성 지배,🌑 行星支配,🌑 Власть над планетой,🌑 Domínio Planetário,🌑 Planetenherrschaft,🌑 Dominio Planetario,🌑 Dominio Planetario,🌑 Maîtrise Planétaire,🌑 Mistrzostwo Planety,🌑 Gezegen Ustalığı
<!MissingKey:26:⚡Chain>,⚡Chain,⚡チェイン,⚡체인,⚡链式,⚡Цепь,⚡Cadeia,⚡Kette,⚡Cadena,⚡Cadena,⚡Chaîne,⚡Łańcuch,⚡Zincir
<!MissingKey:27:⛽ Fuel Tank III>,⛽ Fuel Tank III,⛽ 燃料タンク III,⛽ 연료탱크 III,⛽ 燃料箱 III,⛽ Топливный бак III,⛽ Tanque III,⛽ Kraftstofftank III,⛽ Tanque de Combustible III,⛽ Tanque de Combustible III,⛽ Réservoir III,⛽ Zbiornik Paliwa III,⛽ Yakıt Deposu III
<!MissingKey:28:Keep 60% resources on fuel empty>,Keep 60% resources on fuel empty,燃料切れ時 資源60%保存,연료 고갈 시 자원 60% 보존,燃料耗尽时保留60%资源,Сохранить 60% при пустом баке,Preserva 60% dos recursos sem combustível,60% Ressourcen behalten bei leerem Tank,Conserva el 60% de recursos sin combustible,Conserva el 60% de recursos al quedarse sin combustible,Conserve 60% des ressources sans carburant,Zachowuje 60% zasobów bez paliwa,Yakıt bitince kaynakların %60'ını koru
STATS_TOTAL_NODES,Total Nodes,総購入ノード,총 구매 노드,总购买节点,Всего узлов,Total de Nós,Knoten gesamt,Nodos Totales,Nodos Totales,Nœuds Totaux,Łączne Węzły,Toplam Düğümler
<!MissingKey:30:🤖 Drone Fire Module>,🤖 Drone Fire Module,🤖 ドローン連射モジュール,🤖 드론 연사 모듈,🤖 无人机连射模块,🤖 Модуль огня дрона,🤖 Módulo de Tiro,🤖 Drohnen-Feuermodul,🤖 Módulo de Fuego de Dron,🤖 Módulo de Disparo de Dron,🤖 Module de Tir Drone,🤖 Moduł Ognia Drona,🤖 Drone Ateş Modülü
<!MissingKey:31:🔥 Combo Enhance>,🔥 Combo Enhance,🔥 コンボ強化,🔥 콤보 강화,🔥 连击强化,🔥 Усиление комбо,🔥 Combo Aprimorado,🔥 Komboverstärkung,🔥 Mejora de Combo,🔥 Mejora de Combo,🔥 Amélioration de Combo,🔥 Ulepszenie Combo,🔥 Kombo Geliştirme
<!MissingKey:32:💰 Resource Boost IV>,💰 Resource Boost IV,💰 資源ブースト IV,💰 자원 증폭 IV,💰 资源增幅 IV,💰 Усиление ресурсов IV,💰 Amplificação de Recursos IV,💰 Ressourcenverstärkung IV,💰 Potenciador de Recursos IV,💰 Potenciador de Recursos IV,💰 Boost de Ressources IV,💰 Wzmocnienie Zasobów IV,💰 Kaynak Güçlendirme IV
<!MissingKey:33:Lightning chain +2>,Lightning chain +2,雷連鎖+2回,번개 연쇄 +2회,闪电连锁+2次,Цепь молнии +2,Cadeia +2,Kettung +2,Cadena de rayo +2,Cadena de rayo +2,Chaîne d'éclair +2,Łańcuch błyskawic +2,Yıldırım zinciri +2
<!MissingKey:34:💢 Overdrive Enhance>,💢 Overdrive Enhance,💢 オーバードライブ強化,💢 오버드라이브 강화,💢 超载强化,💢 Усиление овердрайва,💢 Sobrecarga Aprimorada,💢 Überladung verstärkt,💢 Mejora de Sobremarcha,💢 Mejora de Sobremarcha,💢 Amélioration Surcharge,💢 Ulepszenie Doładowania,💢 Aşırı Güç Geliştirme
<!MissingKey:35:Fire Rate IV>,Fire Rate IV,連射速度 IV,연사속도 IV,射速 IV,Скорострельность IV,Cadência IV,Feuerrate IV,Cadencia de Fuego IV,Velocidad de Disparo IV,Cadence de Tir IV,Szybkostrzelność IV,Atış Hızı IV
<!MissingKey:36:30% damage to adjacent blocks>,"30% damage to adjacent blocks
on laser hit","レーザー命中時に隣接ブロックに
30%ダメージ","레이저 타격 시 인접 블록에
30% 데미지","激光击中时邻接方块
受30%伤害","30% урона соседним блокам
при попадании лазером","30% de dano em blocos adjacentes
ao acertar com laser","30% Schaden an Nachbarblöcken
bei Lasertreffer","30% de daño a bloques adyacentes
al impactar con láser","30% de daño a bloques adyacentes
al impactar con láser","30% de dégâts aux blocs adjacents
lors d'un tir laser","30% obrażeń sąsiednim blokom
przy trafieniu laserem","Lazer vuruşunda
komşu bloklara %30 hasar"
<!MissingKey:37:Fire Rate II>,Fire Rate II,連射速度 II,연사속도 II,射速 II,Скорострельность II,Cadência II,Feuerrate II,Cadencia de Fuego II,Velocidad de Disparo II,Cadence de Tir II,Szybkostrzelność II,Atış Hızı II
STAT_LASER,Laser,レーザー,레이저,激光,Лазер,Laser,Laser,Láser,Láser,Laser,Laser,Lazer
<!MissingKey:39:Laser Power II>,Laser Power II,レーザー出力 II,레이저 출력 II,激光功率 II,Мощность лазера II,Potência do Laser II,Laserstärke II,Potencia Láser II,Potencia Láser II,Puissance Laser II,Moc Lasera II,Lazer Gücü II
<!MissingKey:40:Depth bonus +100%>,Depth bonus +100%,深度ボーナス +100%,깊이 보너스 +100%,深度加成 +100%,Бонус глубины +100%,Bônus de profundidade +100%,Tiefenbonus +100%,Bonificación de profundidad +100%,Bonificación de profundidad +100%,Bonus de profondeur +100%,Bonus głębokości +100%,Derinlik bonusu +%100
<!MissingKey:41:🧲 Pickup Range Expand>,🧲 Pickup Range Expand,🧲 収集範囲拡大,🧲 수집 범위 확대,🧲 拾取范围扩大,🧲 Радиус сбора,🧲 Alcance de Coleta,🧲 Sammelreichweite,🧲 Expansión de Rango de Recogida,🧲 Expansión de Rango de Recolección,🧲 Extension de Portée de Collecte,🧲 Rozszerzenie Zasięgu Zbierania,🧲 Toplama Menzili Genişletme
CORE_DESC_BARRIER,Barrier +1 every 30s,30秒ごとにバリア+1,30초마다 배리어 +1 자동 충전,每30秒屏障+1,Барьер +1 каждые 30с,Barreira +1 a cada 30s,Barriere +1 alle 30s,Barrera +1 cada 30s,Barrera +1 cada 30s,Barrière +1 toutes les 30s,Bariera +1 co 30s,Her 30s'de Bariyer +1
<!MissingKey:43:💠 Final Resonance>,💠 Final Resonance,💠 最終共鳴,💠 최종 공명,💠 终极共振,💠 Финальный резонанс,💠 Ressonância Final,💠 Endresonanz,💠 Resonancia Final,💠 Resonancia Final,💠 Résonance Finale,💠 Finalna Rezonacja,💠 Son Rezonans
EPILOGUE_RESOURCES,Total Resources,総獲得資源,총 획득 자원,总获得资源,Всего ресурсов,Recursos Totais,Ressourcen gesamt,Recursos totales,Recursos totales,Ressources totales,Łączne zasoby,Toplam Kaynaklar
<!MissingKey:45:Fuel +5s>,Fuel +5s,燃料 +5秒,연료 +5초,燃料 +5秒,Топливо +5с,Combustível +5s,Treibstoff +5s,Combustible +5s,Combustible +5s,Carburant +5s,Paliwo +5s,Yakıt +5s
<!MissingKey:46:Resource Efficiency II>,Resource Efficiency II,資源効率 II,자원 효율 II,资源效率 II,Эффективность ресурсов II,Eficiência de Recursos II,Ressourceneffizienz II,Eficiencia de Recursos II,Eficiencia de Recursos II,Efficacité des Ressources II,Efektywność Zasobów II,Kaynak Verimliliği II
<!MissingKey:47:Cargo +1000>,Cargo +1000,貨物 +1000個,화물칸 +1000개,货舱 +1000个,Трюм +1000,Carga +1000,Fracht +1000,Carga +1000,Carga +1000,Cargaison +1000,Ładownia +1000,Kargo +1000
TUT_CORE_TITLE,◉ Core,◉ コア,◉ 코어,◉ 核心,◉ Ядро,◉ Núcleo,◉ Kern,◉ Núcleo,◉ Núcleo,◉ Noyau,◉ Rdzeń,◉ Çekirdek
STATS_TOTAL_BLOCKS,Total Blocks,総破壊ブロック,총 파괴 블록,总破坏方块,Всего блоков,Total de Blocos,Blöcke gesamt,Bloques Totales,Bloques Totales,Blocs Totaux,Łączne Bloki,Toplam Bloklar
CORE_DESC_CENTER,"Unlock center zone
Center blocks become destructible","中心エリア解放
中心ブロック破壊可能","중심 구역 해금
중심 블록 파괴 가능","解锁中心区域
中心方块可破坏","Разблокировка центра
Блоки центра разрушаемы","Desbloquear centro
Blocos centrais destrutivos","Zentrum freischalten
Zentrumsblöcke zerstörbar","Desbloquear centro
Bloques centrales destructibles","Desbloquear centro
Bloques centrales destructibles","Déverrouiller le centre
Blocs centraux destructibles","Odblokuj centrum
Bloki centralne zniszczalne","Merkezi aç
Merkez bloklar yıkılabilir"
<!MissingKey:51:Laser damage +15>,Laser damage +15,レーザーダメージ +15,레이저 데미지 +15,激光伤害 +15,Урон лазера +15,Dano do laser +15,Laserschaden +15,Daño láser +15,Daño láser +15,Dégâts laser +15,Obrażenia lasera +15,Lazer hasarı +15
STATS_RECORD_FMT,%s (Sortie #%d),%s (出撃 #%d),%s (출항 #%d),%s (出击 #%d),%s (Вылет #%d),%s (Missão #%d),%s (Einsatz #%d),%s (Salida #%d),%s (Salida #%d),%s (Sortie #%d),%s (Wyprawa #%d),%s (Çıkış #%d)
<!MissingKey:53:⚔ Damage Boost I>,⚔ Damage Boost I,⚔ ダメージブースト I,⚔ 데미지 증폭 I,⚔ 伤害增幅 I,⚔ Усиление урона I,⚔ Amplificação de Dano I,⚔ Schadensverstärkung I,⚔ Potenciador de Daño I,⚔ Potenciador de Daño I,⚔ Boost de Dégâts I,⚔ Wzmocnienie Obrażeń I,⚔ Hasar Güçlendirme I
EPILOGUE_SORTIES,Total Sorties,総出撃回数,총 출항 횟수,总出击次数,Всего вылетов,Total de Missões,Einsätze gesamt,Salidas Totales,Salidas Totales,Sorties Totales,Łączne Wyprawy,Toplam Çıkışlar
<!MissingKey:55:Barrier +10>,Barrier +10,バリア +10,배리어 +10,护盾 +10,Барьер +10,Barreira +10,Barriere +10,Barrera +10,Barrera +10,Barrière +10,Bariera +10,Bariyer +10
CORE_CURRENCY_FMT,🔴 Core ×%d,🔴 コア ×%d,🔴 코어 ×%d,🔴 核心 ×%d,🔴 Ядро ×%d,🔴 Núcleo ×%d,🔴 Kern ×%d,🔴 Núcleo ×%d,🔴 Núcleo ×%d,🔴 Noyau ×%d,🔴 Rdzeń ×%d,🔴 Çekirdek ×%d
CORE_COST_COND_FMT,"🔴 Core ×%d
%s","🔴 コア ×%d
%s","🔴 코어 ×%d
%s","🔴 核心 ×%d
%s","🔴 Ядро ×%d
%s","🔴 Núcleo ×%d
%s","🔴 Kern ×%d
%s","🔴 Núcleo ×%d
%s","🔴 Núcleo ×%d
%s","🔴 Noyau ×%d
%s","🔴 Rdzeń ×%d
%s","🔴 Çekirdek ×%d
%s"
SORTIE_COMPLETE_FMT,Sortie #%d Complete,出撃 #%d 完了,출항 #%d 완료,出击 #%d 完成,Вылет #%d завершён,Missão #%d Completa,Einsatz #%d abgeschlossen,Salida #%d Completa,Salida #%d Completa,Sortie #%d Terminée,Wyprawa #%d Zakończona,Çıkış #%d Tamamlandı
<!MissingKey:59:Every 50 kills: 3s>,"Every 50 kills: 3s
ATK x3 SPD +300","50ブロック破壊毎に3秒間
攻撃×3 速度+300","50블록 파괴마다 3초간
공격×3 이속+300","50个方块破坏时3秒
攻击×3 速度+300","Каждые 50 блоков: 3с
Атака ×3 Скорость +300","A cada 50 destruições: 3s
ATQ ×3 VEL +300","Alle 50 Zerstörungen: 3s
ATK ×3 SPD +300","Cada 50 eliminaciones: 3s
ATK x3 VEL +300","Cada 50 eliminaciones: 3s
ATK x3 VEL +300","Toutes les 50 éliminations : 3s
ATK x3 VIT +300","Co 50 eliminacji: 3s
ATK x3 SPD +300","Her 50 öldürmede: 3s
ATK x3 HIZ +300"
<!MissingKey:60:Laser Power IV>,Laser Power IV,レーザー出力 IV,레이저 출력 IV,激光功率 IV,Мощность лазера IV,Potência do Laser IV,Laserstärke IV,Potencia Láser IV,Potencia Láser IV,Puissance Laser IV,Moc Lasera IV,Lazer Gücü IV
STAT_MEGA,Mega,メガ,메가,超级,Мега,Mega,Mega,Mega,Mega,Méga,Mega,Mega
TUT_MOVE_DESC,"Move the mouse away from screen center to fly.
The farther from center, the faster you go!","マウスを画面中央から離すと飛びます。
中央から遠いほど速くなります！","마우스를 화면 중앙에서 멀리 움직이면 빠르게 날아갑니다.
중앙에서 멀수록 더 빨라집니다!","将鼠标移离屏幕中心即可飞行。
离中心越远飞得越快！","Двигайте мышь от центра экрана.
Чем дальше от центра, тем быстрее!","Mova o mouse para longe do centro para voar.
Quanto mais longe, mais rápido!","Bewege die Maus weg von der Bildmitte.
Je weiter, desto schneller!","Aleja el ratón del centro para volar.
¡Cuanto más lejos del centro, más rápido!","Mueve el mouse lejos del centro para volar.
¡Mientras más lejos del centro, más rápido!","Éloignez la souris du centre pour voler.
Plus loin du centre, plus vite !","Odsuń mysz od centrum, aby lecieć.
Im dalej od centrum, tym szybciej!","Uçmak için fareyi merkezden uzaklaştır.
Merkezden ne kadar uzaksa, o kadar hızlı!"
STAT_MAX_COMBO,Max Combo,最大コンボ,최대콤보,最大连击,Макс. комбо,Combo Máx.,Max. Kombo,Combo Máximo,Combo Máximo,Combo Max,Maks. Combo,Maks Kombo
WPN_DRONE,🤖 Drone,🤖 ドローン,🤖 드론,🤖 无人机,🤖 Дрон,🤖 Drone,🤖 Drohne,🤖 Dron,🤖 Dron,🤖 Drone,🤖 Dron,🤖 Drone
SETTINGS_TITLE,⚙ Settings,⚙ 設定,⚙ 설정,⚙ 设置,⚙ Настройки,⚙ Configurações,⚙ Einstellungen,⚙ Ajustes,⚙ Ajustes,⚙ Paramètres,⚙ Ustawienia,⚙ Ayarlar
CARGO_FULL,📦 FULL!,📦 FULL!,📦 FULL!,📦 FULL!,📦 FULL!,📦 FULL!,📦 FULL!,📦 ¡LLENO!,📦 ¡LLENO!,📦 PLEIN !,📦 PEŁNA!,📦 DOLU!
<!MissingKey:67:🤖Drone>,🤖Drone,🤖ドローン,🤖드론,🤖无人机,🤖Дрон,🤖Drone,🤖Drohne,🤖Dron,🤖Dron,🤖Drone,🤖Dron,🤖Drone
TRIGGER_COUNT,Trigger Count,発動回数,발동 횟수,触发次数,Срабатывания,Ativações,Auslösungen,Veces Activado,Veces Activado,Déclenchements,Liczba Aktywacji,Tetikleme Sayısı
<!MissingKey:69:🎯 Core Focus>,🎯 Core Focus,🎯 コア集中,🎯 코어 집중,🎯 核心集中,🎯 Фокус на ядре,🎯 Foco no Núcleo,🎯 Kernfokus,🎯 Enfoque de Núcleo,🎯 Enfoque de Núcleo,🎯 Focus Noyau,🎯 Fokus na Rdzeń,🎯 Çekirdek Odağı
<!MissingKey:70:Resources Earned>,Resources Earned,獲得資源,획득 자원,获得资源,Ресурсов получено,Recursos Obtidos,Ressourcen erhalten,Recursos Obtenidos,Recursos Ganados,Ressources Gagnées,Zdobyte Zasoby,Kazanılan Kaynaklar
CORE_DESC_SHORTCUT,"Return zone time halved
3s → 1.5s","帰還ゾーン滞在時間半減
3秒→1.5秒","귀환존 체류 시간 절반 단축
3초 → 1.5초","返航区停留时间减半
3秒→1.5秒","Время возврата вдвое
3с → 1.5с","Tempo da zona de retorno pela metade
3s → 1.5s","Rückkehrzeit halbiert
3s → 1,5s","Tiempo de zona de retorno reducido a la mitad
3s → 1.5s","Tiempo de zona de retorno reducido a la mitad
3s → 1.5s","Temps de retour divisé par deux
3s → 1.5s","Czas powrotu zmniejszony o połowę
3s → 1.5s","Dönüş bölgesi süresi yarıya indi
3s → 1.5s"
CORE_COND_ALLCORE_NO,✘ All cores destroyed,✘ 全コア破壊,✘ 코어 전멸,✘ 全核心消灭,✘ Все ядра уничтожены,✘ Todos os núcleos destruídos,✘ Alle Kerne zerstört,✘ Todos los núcleos destruidos,✘ Todos los núcleos destruidos,✘ Tous les noyaux détruits,✘ Wszystkie rdzenie zniszczone,✘ Tüm çekirdekler yıkıldı
NODE_NO_CURRENCY,(Not enough currency),(資金不足),(재화 부족),(资金不足),(Недостаточно средств),(Moeda insuficiente),(Nicht genug Währung),(Recursos insuficientes),(Recursos insuficientes),(Ressources insuffisantes),(Niewystarczające zasoby),(Yetersiz kaynak)
STATS_TOTAL_SORTIES,Total Sorties,総出撃数,총 출격,总出击数,Всего вылетов,Total de Surtidas,Einsätze gesamt,Salidas totales,Salidas totales,Sorties totales,Łączne misje,Toplam Çıkış
<!MissingKey:75:⛽ Fuel Tank I>,⛽ Fuel Tank I,⛽ 燃料タンク I,⛽ 연료탱크 I,⛽ 燃料箱 I,⛽ Топливный бак I,⛽ Tanque I,⛽ Kraftstofftank I,⛽ Tanque de Combustible I,⛽ Tanque de Combustible I,⛽ Réservoir I,⛽ Zbiornik Paliwa I,⛽ Yakıt Deposu I
<!MissingKey:76:Hit 4 blocks at once>,Hit 4 blocks at once,同時に4ブロック攻撃,동시 4블록 타격,同时攻击4个方块,4 блока одновременно,Atingir 4 blocos,4 Blöcke gleichzeitig,Golpea 4 bloques a la vez,Impacta 4 bloques a la vez,Touche 4 blocs à la fois,Traf 4 bloki naraz,Aynı anda 4 blok vur
STAT_CHARGED,Charged,チャージ,차지샷,蓄力,Заряд,Carregado,Aufgeladen,Cargado,Cargado,Chargé,Naładowany,Şarjlı
WPN_CHARGED,🔥 Charged,🔥 チャージ,🔥 차지샷,🔥 蓄力,🔥 Заряд,🔥 Carregado,🔥 Aufgeladen,🔥 Cargado,🔥 Cargado,🔥 Chargé,🔥 Naładowany,🔥 Şarjlı
STATS_TOTAL_RESOURCE,Total Resources,総収集資源,총 수집 자원,总收集资源,Всего ресурсов,Total de Recursos,Gesamtressourcen,Recursos Totales,Recursos Totales,Ressources Totales,Łączne Zasoby,Toplam Kaynaklar
<!MissingKey:80:☀️ Scales with Summer destruction>,"☀️ Scales with Summer destruction
Max resource x2","☀️ 夏の破壊率に比例増加
最大資源 ×2","☀️ 여름 파괴율에 비례 증가
최대 자원 ×2","☀️ 随夏季破坏率按比例增加
最大资源 ×2","☀️ Растёт с разрушением Лета
Макс. ресурсы ×2","☀️ Escala com destruição do Verão
Recurso máx. ×2","☀️ Skaliert mit Sommer-Zerstörung
Max. Ressourcen ×2","☀️ Escala con destrucción de Verano
Recurso máximo x2","☀️ Escala con destrucción de Verano
Recurso máximo x2","☀️ Évolue avec la destruction de l'Été
Ressource max x2","☀️ Skaluje się z destrukcją Lata
Maks. zasoby x2","☀️ Yaz yıkımıyla ölçeklenir
Maks kaynak x2"
STAT_ELECTRIC,Elec Chain,電気連鎖,전기연쇄,电链,Электроцепь,Cadeia Elétrica,E-Kette,Cadena Elec,Cadena Elec,Chaîne Élec,Łańcuch Elek,Elek Zincir
STATS_CORES_SHORT,🔴 %d cores!,🔴 %dコア!,🔴 %d코어!,🔴 %d核心!,🔴 %d ядер!,🔴 %d núcleos!,🔴 %d Kerne!,🔴 ¡%d núcleos!,🔴 ¡%d núcleos!,🔴 %d noyaux !,🔴 %d rdzeni!,🔴 %d çekirdek!
